Visiter,Home,SpreadWag,OverUnderWag,Year,Month,Day,HomeID,VisID
E Michigan,Florida,-41.5,56.5,2014,9,6,57,2199
Ole Miss,Vanderbilt,18.0,49.5,2014,9,6,238,145
Old Dominion,North Carolina St,-15.5,65.0,2014,9,6,152,295
Michigan State,Oregon,-13.5,56.0,2014,9,6,2483,127
Idaho,UL Monroe,-13.0,51.0,2014,9,6,2433,70
Mid Tennessee,Minnesota,-13.5,50.5,2014,9,6,135,2393
LA Tech,LA-Lafayette,-15.5,58.5,2014,9,6,309,2348
Arizona State,New Mexico,24.0,67.0,2014,9,6,167,9
Duke,Troy,18.0,64.5,2014,9,6,2653,150
ECU,South Carolina,-14.5,64.0,2014,9,6,2579,151
San Jose State,Auburn,-32.5,66.0,2014,9,6,2,23
Georgia Tech,Tulane,7.5,55.0,2014,9,6,2655,59
Maryland,USF,10.5,52.5,2014,9,6,58,120
Michigan,Notre Dame,-4.0,56.5,2014,9,6,87,130
BYU,Texas,-1.5,47.5,2014,9,6,251,252
San Diego State,UNC,-14.0,59.5,2014,9,6,153,21
VT,OSU,-10.5,46.5,2014,9,6,194,259
Oklahoma,Tulsa,24.5,57.0,2014,9,6,202,201
Memphis,UCLA,-22.0,57.0,2014,9,6,26,235
Air Force,Wyoming,1.5,51.0,2014,9,6,2751,2005
Colorado State,Boise State,-7.5,55.5,2014,9,6,68,36
Oregon State,Hawaii,9.5,58.5,2014,9,6,62,204
Texas Tech,UTEP,21.0,65.5,2014,9,6,2638,2641
SMU,North Texas,-2.5,45.5,2014,9,6,249,2567
Arkansas State,Tennessee,-16.5,59.0,2014,9,6,2633,2032
LA Tech,North Texas,-3.5,48.0,2014,9,11,249,2348
Houston,BYU,-17.0,62.0,2014,9,11,252,248
Toledo,Cincinnati,-9.5,57.5,2014,9,12,2132,2649
Baylor,Buffalo,32.0,69.5,2014,9,12,2084,239
Indiana,Bowling Green,7.5,75.0,2014,9,13,189,84
Ohio,Marshall,-20.0,57.5,2014,9,13,276,195
UCF,Missouri,-10.0,54.5,2014,9,13,142,2116
North Carolina St,USF,2.0,52.5,2014,9,13,58,152
Miami (OH),Michigan,-32.0,50.0,2014,9,13,130,193
Kent State,OSU,-31.0,49.0,2014,9,13,194,2309
E Michigan,Old Dominion,-20.5,71.0,2014,9,13,295,2199
ECU,VT,-10.0,54.0,2014,9,13,259,151
Syracuse,Cent Michigan,4.5,51.0,2014,9,13,2117,183
Pitt,FIU,25.5,47.0,2014,9,13,2229,221
Ga Southern,Georgia Tech,-16.5,55.5,2014,9,13,59,290
Iowa State,Iowa,-13.0,50.0,2014,9,13,2294,66
West Virginia,Maryland,-3.0,60.0,2014,9,13,120,277
UMass,Vanderbilt,-15.5,49.0,2014,9,13,238,113
Louisville,UVA,4.0,45.0,2014,9,13,258,97
Wyoming,Oregon,-43.0,63.5,2014,9,13,2483,2751
Air Force,Georgia State,12.0,63.0,2014,9,13,2247,2005
W Kentucky,Mid Tennessee,-1.5,63.5,2014,9,13,2393,98
Kansas,Duke,-12.5,56.0,2014,9,13,150,2305
Georgia,South Carolina,6.0,58.0,2014,9,13,2579,61
Arkansas,Texas Tech,-1.5,66.5,2014,9,13,2641,8
Arkansas State,Miami (FL),-14.5,52.5,2014,9,13,2390,2032
Miss St,South Alabama,14.5,53.5,2014,9,13,6,344
LA-Lafayette,Ole Miss,-25.5,58.5,2014,9,13,145,309
Illinois,Washington,-13.0,63.0,2014,9,13,264,356
Minnesota,TCU,-17.0,50.0,2014,9,13,2628,135
W Michigan,Idaho,-2.0,58.5,2014,9,13,70,2711
Army,Stanford,-30.0,54.5,2014,9,13,24,349
Southern Miss,Alabama,-47.0,56.0,2014,9,13,333,2572
Wake Forest,Utah State,-15.5,45.0,2014,9,13,328,154
Tulsa,FAU,1.0,52.5,2014,9,13,2226,202
UL Monroe,LSU,-30.5,50.0,2014,9,13,99,2433
Purdue,Notre Dame,-29.5,59.0,2014,9,13,87,2509
Kentucky,Florida,-18.5,54.0,2014,9,13,57,96
Navy,Texas State,6.0,55.5,2014,9,13,326,2426
Tennessee,Oklahoma,-21.0,58.0,2014,9,13,201,2633
New Mexico St,UTEP,-10.5,56.0,2014,9,13,2638,166
UCLA,Texas,9.0,50.5,2014,9,13,251,26
Penn State,Rutgers,3.0,52.0,2014,9,13,164,213
USC,Boston College,17.0,57.0,2014,9,13,103,30
Rice,Texas A&M,-30.5,69.5,2014,9,13,245,242
N Illinois,UNLV,10.0,61.5,2014,9,13,2439,2459
Arizona State,Colorado,15.5,68.0,2014,9,13,38,9
Nebraska,Fresno State,11.5,60.5,2014,9,13,278,158
Nevada,Arizona,-19.5,65.0,2014,9,13,12,2440
Boise State,UConn,14.5,51.5,2014,9,13,41,68
UTSA,Oklahoma State,-11.5,55.0,2014,9,13,197,2636
Auburn,Kansas State,7.0,63.5,2014,9,18,2306,2
UConn,USF,-2.5,42.5,2014,9,19,58,41
Indiana,Missouri,-15.0,71.0,2014,9,20,142,84
UMass,Penn State,-27.0,48.5,2014,9,20,213,113
Marshall,Akron,10.0,60.0,2014,9,20,2006,276
Iowa,Pitt,-6.5,46.0,2014,9,20,221,2294
Ball State,Toledo,-13.5,59.0,2014,9,20,2649,2050
Maryland,Syracuse,-2.0,56.0,2014,9,20,183,120
Idaho,Ohio,-11.5,56.5,2014,9,20,195,70
Troy,Georgia,-41.0,63.5,2014,9,20,61,2653
Bowling Green,Wisconsin,-26.0,63.0,2014,9,20,275,189
Tulane,Duke,-17.0,54.0,2014,9,20,150,2655
Army,Wake Forest,3.0,48.5,2014,9,20,154,349
UNC,ECU,1.0,66.5,2014,9,20,151,153
Utah,Michigan,-3.0,54.0,2014,9,20,130,254
E Michigan,Michigan State,-44.0,53.5,2014,9,20,127,2199
South Carolina,Vanderbilt,22.0,51.5,2014,9,20,238,2579
FAU,Wyoming,-3.0,48.5,2014,9,20,2751,2226
Hawaii,Colorado,-9.0,58.0,2014,9,20,38,62
Mid Tennessee,Memphis,-12.0,60.5,2014,9,20,235,2393
Georgia State,Washington,-34.5,70.0,2014,9,20,264,2247
Appalachian St,Southern Miss,2.0,59.5,2014,9,20,2572,2026
Ga Southern,South Alabama,1.0,59.0,2014,9,20,6,290
Texas A&M,SMU,33.5,59.0,2014,9,20,2567,245
Florida,Alabama,-14.0,50.5,2014,9,20,333,57
UNLV,Houston,-21.0,63.0,2014,9,20,248,2439
Georgia Tech,VT,-7.0,52.5,2014,9,20,259,59
Oregon,Washington St,21.5,78.5,2014,9,20,265,2483
Clemson,FSU,-10.5,54.5,2014,9,20,52,228
UVA,BYU,-14.5,49.5,2014,9,20,252,258
Texas State,Illinois,-10.5,61.5,2014,9,20,356,326
Old Dominion,Rice,-7.0,63.0,2014,9,20,242,295
Louisville,FIU,25.5,45.5,2014,9,20,2229,97
Miami (OH),Cincinnati,-30.5,60.5,2014,9,20,2132,193
San Diego State,Oregon State,-10.0,57.0,2014,9,20,204,21
Miss St,LSU,-7.0,48.5,2014,9,20,99,344
N Illinois,Arkansas,-13.0,66.0,2014,9,20,8,2459
Miami (FL),Nebraska,-8.0,55.0,2014,9,20,158,2390
Oklahoma,West Virginia,8.0,64.5,2014,9,20,277,201
Cal,Arizona,-8.0,69.5,2014,9,20,12,25
LA-Lafayette,Boise State,-17.0,60.5,2014,9,20,68,309
Rutgers,Navy,-6.0,55.0,2014,9,20,2426,164
Utah State,Arkansas State,-2.5,46.5,2014,9,20,2032,328
Cent Michigan,Kansas,-5.5,45.0,2014,9,20,2305,2117
New Mexico,New Mexico St,5.5,62.5,2014,9,20,166,167
San Jose State,Minnesota,-7.5,50.0,2014,9,20,135,23
Appalachian St,Ga Southern,-16.5,61.0,2014,9,25,290,2026
Texas Tech,Oklahoma State,-14.0,70.0,2014,9,25,197,2641
UCLA,Arizona State,3.5,65.0,2014,9,25,9,26
Mid Tennessee,Old Dominion,-1.0,68.5,2014,9,26,295,2393
Fresno State,New Mexico,6.0,66.5,2014,9,26,167,278
Wyoming,Michigan State,-28.0,47.0,2014,9,27,127,2751
Maryland,Indiana,-2.0,70.0,2014,9,27,84,120
Baylor,Iowa State,21.0,72.5,2014,9,27,66,239
USF,Wisconsin,-33.0,51.0,2014,9,27,275,58
W Michigan,VT,-21.0,50.5,2014,9,27,259,2711
Temple,UConn,6.5,46.0,2014,9,27,41,218
Akron,Pitt,-20.5,51.5,2014,9,27,221,2006
Tulane,Rutgers,-12.5,52.5,2014,9,27,164,2655
Northwestern,Penn State,-10.0,47.0,2014,9,27,213,77
Vanderbilt,Kentucky,-17.0,48.0,2014,9,27,96,238
Wake Forest,Louisville,-21.0,44.0,2014,9,27,97,154
Colorado State,Boston College,-6.5,56.5,2014,9,27,103,36
Miami (OH),Buffalo,-7.0,52.0,2014,9,27,2084,193
Texas State,Tulsa,-3.0,65.5,2014,9,27,202,326
UTEP,Kansas State,-27.5,53.0,2014,9,27,2306,2638
LA Tech,Auburn,-31.5,63.0,2014,9,27,2,2348
Colorado,Cal,-14.0,62.0,2014,9,27,25,38
TCU,SMU,31.0,47.5,2014,9,27,2567,2628
Rice,Southern Miss,8.5,59.0,2014,9,27,2572,242
Missouri,South Carolina,-6.0,61.5,2014,9,27,2579,142
W Kentucky,Navy,-8.5,66.0,2014,9,27,2426,98
Notre Dame,Syracuse,9.0,52.0,2014,9,27,183,87
Arkansas,Texas A&M,-8.5,72.5,2014,9,27,245,8
Oregon State,USC,-7.5,56.0,2014,9,27,30,204
UNC,Clemson,-14.5,63.0,2014,9,27,228,153
Texas,Kansas,9.5,42.0,2014,9,27,2305,251
Tennessee,Georgia,-18.0,57.0,2014,9,27,61,2633
Duke,Miami (FL),-4.0,59.5,2014,9,27,2390,150
South Alabama,Idaho,3.0,59.0,2014,9,27,70,6
FIU,UAB,-14.0,54.5,2014,9,27,5,2229
Memphis,Ole Miss,-20.5,58.5,2014,9,27,145,235
UTSA,FAU,3.5,45.0,2014,9,27,2226,2636
Washington St,Utah,-12.5,61.0,2014,9,27,254,265
Boise State,Air Force,11.5,57.0,2014,9,27,2005,68
New Mexico St,LSU,-44.0,57.0,2014,9,27,99,166
Illinois,Nebraska,-21.5,59.5,2014,9,27,158,356
UNLV,San Diego State,-19.0,56.0,2014,9,27,21,2439
Nevada,San Jose State,6.5,55.0,2014,9,27,23,2440
Bowling Green,UMass,6.0,69.5,2014,9,27,113,189
Minnesota,Michigan,-10.0,43.5,2014,9,27,130,135
Cincinnati,OSU,-17.0,61.5,2014,9,27,194,2132
Iowa,Purdue,8.0,47.0,2014,9,27,2509,2294
FSU,North Carolina St,16.5,60.5,2014,9,27,152,52
Kent State,UVA,-25.5,45.0,2014,9,27,258,2309
Stanford,Washington,7.5,49.0,2014,9,27,264,24
Troy,UL Monroe,-14.0,55.5,2014,9,27,2433,2653
Cent Michigan,Toledo,-10.5,58.0,2014,9,27,2649,2117
FAU,FIU,6.5,47.5,2014,10,2,2229,2226
UCF,Houston,-2.5,49.5,2014,10,2,248,2116
Arizona,Oregon,-21.0,81.0,2014,10,2,2483,12
Louisville,Syracuse,2.0,47.0,2014,10,3,183,97
San Diego State,Fresno State,-3.5,58.0,2014,10,3,278,21
Utah State,BYU,-21.0,52.0,2014,10,3,252,328
Vanderbilt,Georgia,-33.5,53.0,2014,10,4,61,238
Wake Forest,FSU,-37.5,55.5,2014,10,4,52,154
Miami (FL),Georgia Tech,-2.5,58.5,2014,10,4,59,2390
North Texas,Indiana,-10.5,58.0,2014,10,4,84,249
SMU,ECU,-38.5,59.5,2014,10,4,151,2567
Memphis,Cincinnati,-3.0,62.0,2014,10,4,2132,235
Pitt,UVA,-5.0,46.0,2014,10,4,258,221
Kansas,West Virginia,-26.5,59.0,2014,10,4,277,2305
Toledo,W Michigan,5.0,62.5,2014,10,4,2711,2649
Marshall,Old Dominion,18.5,75.5,2014,10,4,295,276
VT,UNC,2.5,57.0,2014,10,4,153,259
Kent State,N Illinois,-25.0,59.0,2014,10,4,2459,2309
Wisconsin,Northwestern,7.0,47.5,2014,10,4,77,275
UMass,Miami (OH),-6.0,58.5,2014,10,4,193,113
South Alabama,Appalachian St,3.5,52.0,2014,10,4,2026,6
South Carolina,Kentucky,4.0,55.5,2014,10,4,96,2579
Ball State,Army,-2.5,57.0,2014,10,4,349,2050
Buffalo,Bowling Green,-3.5,75.0,2014,10,4,189,2084
E Michigan,Akron,-26.0,50.5,2014,10,4,2006,2199
Hawaii,Rice,-6.5,57.5,2014,10,4,242,62
Tulsa,Colorado State,-17.5,63.0,2014,10,4,36,202
Georgia State,LA-Lafayette,-16.5,64.5,2014,10,4,309,2247
Stanford,Notre Dame,2.5,46.5,2014,10,4,87,24
Arizona State,USC,-12.0,67.0,2014,10,4,30,9
LSU,Auburn,-7.0,56.0,2014,10,4,2,99
Navy,Air Force,3.0,56.0,2014,10,4,2005,2426
Oklahoma,TCU,3.5,57.0,2014,10,4,2628,201
Florida,Tennessee,1.0,52.0,2014,10,4,2633,57
Baylor,Texas,14.0,58.5,2014,10,4,251,239
Iowa State,Oklahoma State,-16.0,64.0,2014,10,4,197,66
Alabama,Ole Miss,4.5,52.0,2014,10,4,145,333
Texas A&M,Miss St,-2.5,70.5,2014,10,4,344,245
Utah,UCLA,-13.0,63.5,2014,10,4,26,254
UTEP,LA Tech,-12.5,57.0,2014,10,4,2348,2638
Southern Miss,Mid Tennessee,-17.0,59.5,2014,10,4,2393,2572
Oregon State,Colorado,4.0,52.5,2014,10,4,38,204
Cal,Washington St,-4.0,69.0,2014,10,4,265,25
Idaho,Texas State,-15.5,66.0,2014,10,4,326,70
Michigan,Rutgers,-2.5,46.5,2014,10,4,164,130
New Mexico,UTSA,-16.5,55.5,2014,10,4,2636,167
UL Monroe,Arkansas State,-10.0,52.0,2014,10,4,2032,2433
North Carolina St,Clemson,-14.0,63.5,2014,10,4,228,152
UAB,W Kentucky,-10.0,71.0,2014,10,4,98,5
Nebraska,Michigan State,-7.0,53.5,2014,10,4,127,158
Ga Southern,New Mexico St,17.0,63.0,2014,10,4,166,290
Boise State,Nevada,3.0,53.5,2014,10,4,2440,68
Purdue,Illinois,-9.5,53.5,2014,10,4,356,2509
Ohio,Cent Michigan,-3.5,49.0,2014,10,4,2117,195
UNLV,San Jose State,-9.0,57.5,2014,10,4,23,2439
OSU,Maryland,6.0,59.0,2014,10,4,120,194
Texas Tech,Kansas State,-14.0,65.5,2014,10,4,2306,2641
BYU,UCF,-3.0,46.0,2014,10,9,2116,252
Washington St,Stanford,-16.5,52.5,2014,10,10,24,265
Fresno State,UNLV,9.5,65.0,2014,10,10,2439,278
San Diego State,New Mexico,3.0,53.5,2014,10,10,167,21
Texas,Oklahoma,-17.0,45.0,2014,10,11,201,251
Michigan State,Purdue,21.0,50.0,2014,10,11,2509,127
Northwestern,Minnesota,-4.0,45.0,2014,10,11,135,77
Rice,Army,2.5,58.5,2014,10,11,349,242
Tulsa,Temple,-17.0,57.0,2014,10,11,218,202
Mid Tennessee,Marshall,-23.5,67.0,2014,10,11,276,2393
FSU,Syracuse,23.5,54.5,2014,10,11,183,52
Duke,Georgia Tech,-3.5,60.0,2014,10,11,59,150
Boston College,North Carolina St,-2.5,55.5,2014,10,11,152,103
Cincinnati,Miami (FL),-15.0,65.5,2014,10,11,2390,2132
Buffalo,E Michigan,14.5,57.0,2014,10,11,2199,2084
Miami (OH),Akron,-15.5,55.5,2014,10,11,2006,193
Indiana,Iowa,-3.0,54.0,2014,10,11,2294,84
Bowling Green,Ohio,1.0,66.0,2014,10,11,195,189
West Virginia,Texas Tech,6.0,76.5,2014,10,11,2641,277
Oklahoma State,Kansas,19.5,49.0,2014,10,11,2305,197
TCU,Baylor,-7.5,66.0,2014,10,11,239,2628
Houston,Memphis,-7.0,48.0,2014,10,11,235,248
North Texas,UAB,-6.0,58.0,2014,10,11,5,249
Auburn,Miss St,2.5,61.5,2014,10,11,344,2
W Michigan,Ball State,-1.0,54.0,2014,10,11,2050,2711
Alabama,Arkansas,8.5,54.0,2014,10,11,8,333
LSU,Florida,1.0,44.0,2014,10,11,57,99
Toledo,Iowa State,-3.5,61.0,2014,10,11,66,2649
Oregon,UCLA,1.0,73.5,2014,10,11,26,2483
Washington,Cal,-3.5,67.5,2014,10,11,25,264
Louisville,Clemson,-8.5,47.5,2014,10,11,228,97
UNC,Notre Dame,-16.5,62.0,2014,10,11,87,153
Cent Michigan,N Illinois,-9.0,57.0,2014,10,11,2459,2117
Idaho,Ga Southern,-22.0,63.0,2014,10,11,290,70
Arkansas State,Georgia State,10.5,62.0,2014,10,11,2247,2032
FIU,UTSA,-9.0,42.0,2014,10,11,2636,2229
Air Force,Utah State,-7.0,50.5,2014,10,11,328,2005
ECU,USF,16.5,57.5,2014,10,11,58,151
Penn State,Michigan,-2.5,42.0,2014,10,11,130,213
Old Dominion,UTEP,-2.5,65.0,2014,10,11,2638,295
UConn,Tulane,-4.0,42.0,2014,10,11,2655,41
Colorado State,Nevada,1.5,65.0,2014,10,11,2440,36
Georgia,Missouri,3.0,58.5,2014,10,11,142,61
USC,Arizona,-1.5,66.0,2014,10,11,12,30
UL Monroe,Kentucky,-19.0,51.0,2014,10,11,96,2433
Ole Miss,Texas A&M,-2.5,63.0,2014,10,11,245,145
Illinois,Wisconsin,-27.0,58.5,2014,10,11,275,356
New Mexico St,Troy,-8.5,63.0,2014,10,11,2653,166
UMass,Kent State,-3.0,56.0,2014,10,11,2309,113
Wyoming,Hawaii,-6.0,47.0,2014,10,12,62,2751
LA-Lafayette,Texas State,-2.5,62.5,2014,10,14,326,309
VT,Pitt,1.0,45.0,2014,10,16,221,259
Utah,Oregon State,2.0,53.0,2014,10,16,204,254
Fresno State,Boise State,-17.5,61.0,2014,10,17,68,278
Temple,Houston,-9.0,52.5,2014,10,17,248,218
Marshall,FIU,21.5,56.0,2014,10,18,2229,276
Syracuse,Wake Forest,5.5,44.5,2014,10,18,154,183
Miami (OH),N Illinois,-13.5,57.5,2014,10,18,2459,193
Purdue,Minnesota,-12.5,49.0,2014,10,18,135,2509
Iowa,Maryland,-3.5,46.5,2014,10,18,120,2294
Baylor,West Virginia,8.5,80.5,2014,10,18,277,239
UVA,Duke,-3.5,49.5,2014,10,18,150,258
Georgia Tech,UNC,-2.5,68.0,2014,10,18,153,59
North Carolina St,Louisville,-18.5,50.0,2014,10,18,97,152
E Michigan,UMass,-14.5,63.5,2014,10,18,113,2199
W Michigan,Bowling Green,-3.0,68.0,2014,10,18,189,2711
Ball State,Cent Michigan,-10.0,53.0,2014,10,18,2117,2050
Georgia,Arkansas,3.0,54.0,2014,10,18,8,61
San Jose State,Wyoming,3.0,47.0,2014,10,18,2751,23
New Mexico,Air Force,-7.5,57.0,2014,10,18,2005,167
USF,Tulsa,2.0,50.5,2014,10,18,202,58
Southern Miss,North Texas,-7.5,54.5,2014,10,18,249,2572
Cincinnati,SMU,12.0,62.0,2014,10,18,2567,2132
Appalachian St,Troy,-7.5,64.0,2014,10,18,2653,2026
Nevada,BYU,-10.0,59.0,2014,10,18,252,2440
Army,Kent State,3.0,52.0,2014,10,18,2309,349
Stanford,Arizona State,3.5,54.0,2014,10,18,9,24
Washington,Oregon,-21.0,64.5,2014,10,18,2483,264
UCLA,Cal,7.0,72.0,2014,10,18,25,26
UAB,Mid Tennessee,-2.0,66.5,2014,10,18,2393,5
Rutgers,OSU,-21.0,63.0,2014,10,18,194,164
Texas A&M,Alabama,-11.5,63.0,2014,10,18,333,245
Colorado,USC,-20.0,61.0,2014,10,18,30,38
Michigan State,Indiana,15.5,60.0,2014,10,18,84,127
Clemson,Boston College,5.0,45.5,2014,10,18,103,228
Kansas State,Oklahoma,-7.0,54.5,2014,10,18,201,2306
New Mexico St,Idaho,-5.5,68.0,2014,10,18,70,166
Georgia State,South Alabama,-20.0,56.0,2014,10,18,6,2247
W Kentucky,FAU,3.5,66.5,2014,10,18,2226,98
Utah State,Colorado State,-5.0,54.5,2014,10,18,36,328
Tennessee,Ole Miss,-16.0,46.0,2014,10,18,145,2633
Iowa State,Texas,-10.5,45.5,2014,10,18,251,66
Missouri,Florida,-6.5,46.0,2014,10,18,57,142
Kansas,Texas Tech,-12.5,58.0,2014,10,18,2641,2305
Oklahoma State,TCU,-10.0,62.0,2014,10,18,2628,197
Nebraska,Northwestern,6.0,55.0,2014,10,18,77,158
Kentucky,LSU,-12.0,49.5,2014,10,18,99,96
Notre Dame,FSU,-9.5,60.0,2014,10,18,52,87
Hawaii,San Diego State,-10.0,49.0,2014,10,18,21,62
Tulane,UCF,-17.5,44.0,2014,10,18,2116,2655
Akron,Ohio,2.5,47.5,2014,10,18,195,2006
UTSA,LA Tech,-11.0,45.0,2014,10,18,2348,2636
Arkansas State,LA-Lafayette,3.0,58.5,2014,10,21,309,2032
UConn,ECU,-27.5,56.0,2014,10,23,151,41
Miami (FL),VT,1.5,48.0,2014,10,23,259,2390
Troy,South Alabama,-15.0,55.0,2014,10,24,6,2653
USF,Cincinnati,-10.0,60.0,2014,10,24,2132,58
BYU,Boise State,-6.5,57.0,2014,10,24,68,252
Oregon,Cal,18.0,78.0,2014,10,24,25,2483
South Carolina,Auburn,-17.5,63.0,2014,10,25,2,2579
N Illinois,E Michigan,19.0,62.0,2014,10,25,2199,2459
Miss St,Kentucky,14.5,59.0,2014,10,25,96,344
Syracuse,Clemson,-17.0,47.5,2014,10,25,228,183
Minnesota,Illinois,4.0,54.5,2014,10,25,356,135
Akron,Ball State,3.0,52.5,2014,10,25,2050,2006
Cent Michigan,Buffalo,3.5,55.0,2014,10,25,2084,2117
Ohio,W Michigan,-8.5,53.0,2014,10,25,2711,195
Temple,UCF,-6.5,47.0,2014,10,25,2116,218
UNC,UVA,-7.0,61.0,2014,10,25,258,153
Georgia Tech,Pitt,-3.5,56.0,2014,10,25,221,59
Maryland,Wisconsin,-9.5,56.0,2014,10,25,275,120
Vanderbilt,Missouri,-23.0,42.5,2014,10,25,142,238
San Jose State,Navy,-9.0,53.5,2014,10,25,2426,23
UMass,Toledo,-17.0,69.0,2014,10,25,2649,113
UCLA,Colorado,14.0,65.0,2014,10,25,38,26
Rutgers,Nebraska,-19.5,60.5,2014,10,25,158,164
Kent State,Miami (OH),-4.5,53.0,2014,10,25,193,2309
UAB,Arkansas,-25.5,60.5,2014,10,25,8,5
Texas Tech,TCU,-24.0,70.5,2014,10,25,2628,2641
Memphis,SMU,23.0,52.0,2014,10,25,2567,235
Oregon State,Stanford,-13.0,43.5,2014,10,25,24,204
Alabama,Tennessee,20.0,46.0,2014,10,25,2633,333
Michigan,Michigan State,-17.0,46.0,2014,10,25,127,130
Wyoming,Colorado State,-18.5,53.5,2014,10,25,36,2751
Ole Miss,LSU,3.5,45.5,2014,10,25,99,145
Arizona,Washington St,2.5,73.5,2014,10,25,265,12
USC,Utah,-1.0,52.0,2014,10,25,254,30
Ga Southern,Georgia State,17.0,65.5,2014,10,25,2247,290
North Texas,Rice,-16.0,56.5,2014,10,25,242,249
LA Tech,Southern Miss,8.5,56.0,2014,10,25,2572,2348
UTEP,UTSA,-14.0,47.0,2014,10,25,2636,2638
FAU,Marshall,-27.5,66.5,2014,10,25,276,2226
Texas State,UL Monroe,-2.5,50.5,2014,10,25,2433,326
Old Dominion,W Kentucky,-13.5,77.0,2014,10,25,98,295
West Virginia,Oklahoma State,2.5,66.0,2014,10,25,197,277
Texas,Kansas State,-10.0,48.0,2014,10,25,2306,251
OSU,Penn State,14.0,52.5,2014,10,25,213,194
UNLV,Utah State,-17.0,50.0,2014,10,25,328,2439
Boston College,Wake Forest,13.0,41.0,2014,10,25,154,103
Arizona State,Washington,3.5,61.0,2014,10,25,264,9
Nevada,Hawaii,3.0,54.5,2014,10,26,62,2440
Troy,Ga Southern,-24.0,61.5,2014,10,30,290,2653
FSU,Louisville,3.5,51.0,2014,10,30,97,52
Tulsa,Memphis,-24.0,57.0,2014,10,31,235,202
Cincinnati,Tulane,4.0,55.5,2014,10,31,2655,2132
Notre Dame,Navy,14.0,54.0,2014,11,1,2426,87
Boston College,VT,-3.0,40.5,2014,11,1,259,103
ECU,Temple,10.0,60.5,2014,11,1,218,151
