ID,Team,Conf,Year
2711,Western Michigan,mac,2001
2717,NotMajor,NotMajor,2001
2729,NotMajor,NotMajor,2001
2747,NotMajor,NotMajor,2001
2751,Wyoming,mwc,2001
2754,NotMajor,NotMajor,2001
2,Auburn,sec,2002
5,UAB,cusa,2002
8,Arkansas,sec,2002
9,Arizona State,pac-12,2002
12,Arizona,pac-12,2002
13,NotMajor,NotMajor,2002
16,NotMajor,NotMajor,2002
21,San Diego State,mwc,2002
23,SJSU,wac,2002
24,Stanford,pac-12,2002
25,California,pac-12,2002
26,UCLA,pac-12,2002
30,USC,pac-12,2002
36,Colorado State,mwc,2002
38,Colorado,big-12,2002
41,Connecticut,independent,2002
50,NotMajor,NotMajor,2002
52,Florida State,acc,2002
55,NotMajor,NotMajor,2002
57,Florida,sec,2002
58,South Florida,independent,2002
59,Georgia Tech,acc,2002
61,Georgia,sec,2002
62,Hawaii,wac,2002
66,Iowa State,big-12,2002
68,Boise State,wac,2002
70,Idaho,sun-belt,2002
77,Northwestern,big-ten,2002
79,NotMajor,NotMajor,2002
84,Indiana,big-ten,2002
87,Notre Dame,independent,2002
93,NotMajor,NotMajor,2002
96,Kentucky,sec,2002
97,Louisville,cusa,2002
98,NotMajor,NotMajor,2002
99,LSU,sec,2002
103,Boston College,big-east,2002
107,NotMajor,NotMajor,2002
111,NotMajor,NotMajor,2002
113,NotMajor,NotMajor,2002
120,Maryland,acc,2002
127,Michigan State,big-ten,2002
130,Michigan,big-ten,2002
135,Minnesota,big-ten,2002
142,Missouri,big-12,2002
145,Ole Miss,sec,2002
147,NotMajor,NotMajor,2002
149,NotMajor,NotMajor,2002
150,Duke,acc,2002
151,East Carolina,cusa,2002
152,North Carolina State,acc,2002
153,North Carolina,acc,2002
154,Wake Forest,acc,2002
158,Nebraska,big-12,2002
160,NotMajor,NotMajor,2002
164,Rutgers,big-east,2002
166,New Mexico State,sun-belt,2002
167,New Mexico,mwc,2002
183,Syracuse,big-east,2002
189,Bowling Green State,mac,2002
193,Miami (OH),mac,2002
194,Ohio State,big-ten,2002
195,Ohio,mac,2002
197,Oklahoma State,big-12,2002
201,Oklahoma,big-12,2002
202,Tulsa,wac,2002
204,Oregon State,pac-12,2002
213,Penn State,big-ten,2002
218,Temple,big-east,2002
221,Pitt,big-east,2002
222,NotMajor,NotMajor,2002
227,NotMajor,NotMajor,2002
228,Clemson,acc,2002
231,NotMajor,NotMajor,2002
235,Memphis,cusa,2002
236,NotMajor,NotMajor,2002
238,Vanderbilt,sec,2002
239,Baylor,big-12,2002
242,Rice,wac,2002
245,Texas A&M,big-12,2002
248,Houston,cusa,2002
249,North Texas,sun-belt,2002
251,Texas,big-12,2002
252,Brigham Young,mwc,2002
253,NotMajor,NotMajor,2002
254,Utah,mwc,2002
257,NotMajor,NotMajor,2002
258,Virginia,acc,2002
259,Virginia Tech,big-east,2002
264,Washington,pac-12,2002
265,Washington State,pac-12,2002
275,Wisconsin,big-ten,2002
276,Marshall,mac,2002
277,West Virginia,big-east,2002
278,Fresno State,wac,2002
282,NotMajor,NotMajor,2002
304,NotMajor,NotMajor,2002
309,Louisiana-Lafayette,sun-belt,2002
326,NotMajor,NotMajor,2002
328,Utah State,independent,2002
331,NotMajor,NotMajor,2002
333,Alabama,sec,2002
344,Mississippi State,sec,2002
349,Army,cusa,2002
356,Illinois,big-ten,2002
2005,Air Force,mwc,2002
2006,Akron,mac,2002
2026,NotMajor,NotMajor,2002
2032,Arkansas State,sun-belt,2002
2046,NotMajor,NotMajor,2002
2050,Ball State,mac,2002
2084,Buffalo,mac,2002
2116,UCF,mac,2002
2117,Central Michigan,mac,2002
2127,NotMajor,NotMajor,2002
2132,Cincinnati,cusa,2002
2193,NotMajor,NotMajor,2002
2197,NotMajor,NotMajor,2002
2198,NotMajor,NotMajor,2002
2199,Eastern Michigan,mac,2002
2226,NotMajor,NotMajor,2002
2287,NotMajor,NotMajor,2002
2294,Iowa,big-ten,2002
2296,NotMajor,NotMajor,2002
2305,Kansas,big-12,2002
2306,Kansas State,big-12,2002
2309,Kent State,mac,2002
2329,NotMajor,NotMajor,2002
2335,NotMajor,NotMajor,2002
2348,Louisiana Tech,wac,2002
2377,NotMajor,NotMajor,2002
2390,Miami (FL),big-east,2002
2393,Middle Tennessee State,sun-belt,2002
2426,Navy,independent,2002
2433,Louisiana-Monroe,sun-belt,2002
2439,Nevada-Las Vegas,mwc,2002
2440,Nevada,wac,2002
2447,NotMajor,NotMajor,2002
2459,Northern Illinois,mac,2002
2460,NotMajor,NotMajor,2002
2464,NotMajor,NotMajor,2002
2466,NotMajor,NotMajor,2002
2483,Oregon,pac-12,2002
2502,NotMajor,NotMajor,2002
2509,Purdue,big-ten,2002
2534,NotMajor,NotMajor,2002
2535,NotMajor,NotMajor,2002
2546,NotMajor,NotMajor,2002
2567,SMU,wac,2002
2572,Southern Mississippi,cusa,2002
2579,South Carolina,sec,2002
2582,NotMajor,NotMajor,2002
2623,NotMajor,NotMajor,2002
2628,Texas Christian,cusa,2002
2630,NotMajor,NotMajor,2002
2633,Tennessee,sec,2002
2635,NotMajor,NotMajor,2002
2638,UTEP,wac,2002
2641,Texas Tech,big-12,2002
2643,NotMajor,NotMajor,2002
2649,Toledo,mac,2002
2653,Troy,independent,2002
2655,Tulane,cusa,2002
2692,NotMajor,NotMajor,2002
2710,NotMajor,NotMajor,2002
2711,Western Michigan,mac,2002
2717,NotMajor,NotMajor,2002
2729,NotMajor,NotMajor,2002
2747,NotMajor,NotMajor,2002
2751,Wyoming,mwc,2002
2,Auburn,sec,2003
5,UAB,cusa,2003
8,Arkansas,sec,2003
9,Arizona State,pac-12,2003
12,Arizona,pac-12,2003
13,NotMajor,NotMajor,2003
16,NotMajor,NotMajor,2003
21,San Diego State,mwc,2003
23,SJSU,wac,2003
24,Stanford,pac-12,2003
25,California,pac-12,2003
26,UCLA,pac-12,2003
30,USC,pac-12,2003
36,Colorado State,mwc,2003
38,Colorado,big-12,2003
41,Connecticut,independent,2003
47,NotMajor,NotMajor,2003
48,NotMajor,NotMajor,2003
50,NotMajor,NotMajor,2003
52,Florida State,acc,2003
55,NotMajor,NotMajor,2003
57,Florida,sec,2003
58,South Florida,cusa,2003
59,Georgia Tech,acc,2003
61,Georgia,sec,2003
62,Hawaii,wac,2003
66,Iowa State,big-12,2003
68,Boise State,wac,2003
70,Idaho,sun-belt,2003
77,Northwestern,big-ten,2003
84,Indiana,big-ten,2003
87,Notre Dame,independent,2003
93,NotMajor,NotMajor,2003
96,Kentucky,sec,2003
97,Louisville,cusa,2003
98,NotMajor,NotMajor,2003
99,LSU,sec,2003
103,Boston College,big-east,2003
113,NotMajor,NotMajor,2003
120,Maryland,acc,2003
127,Michigan State,big-ten,2003
130,Michigan,big-ten,2003
135,Minnesota,big-ten,2003
142,Missouri,big-12,2003
145,Ole Miss,sec,2003
147,NotMajor,NotMajor,2003
149,NotMajor,NotMajor,2003
150,Duke,acc,2003
151,East Carolina,cusa,2003
152,North Carolina State,acc,2003
153,North Carolina,acc,2003
154,Wake Forest,acc,2003
158,Nebraska,big-12,2003
160,NotMajor,NotMajor,2003
164,Rutgers,big-east,2003
166,New Mexico State,sun-belt,2003
167,New Mexico,mwc,2003
183,Syracuse,big-east,2003
189,Bowling Green State,mac,2003
193,Miami (OH),mac,2003
194,Ohio State,big-ten,2003
195,Ohio,mac,2003
197,Oklahoma State,big-12,2003
201,Oklahoma,big-12,2003
202,Tulsa,wac,2003
204,Oregon State,pac-12,2003
213,Penn State,big-ten,2003
218,Temple,big-east,2003
221,Pitt,big-east,2003
222,NotMajor,NotMajor,2003
227,NotMajor,NotMajor,2003
228,Clemson,acc,2003
231,NotMajor,NotMajor,2003
235,Memphis,cusa,2003
236,NotMajor,NotMajor,2003
238,Vanderbilt,sec,2003
239,Baylor,big-12,2003
242,Rice,wac,2003
245,Texas A&M,big-12,2003
248,Houston,cusa,2003
249,North Texas,sun-belt,2003
251,Texas,big-12,2003
252,Brigham Young,mwc,2003
253,NotMajor,NotMajor,2003
254,Utah,mwc,2003
256,NotMajor,NotMajor,2003
258,Virginia,acc,2003
259,Virginia Tech,big-east,2003
264,Washington,pac-12,2003
265,Washington State,pac-12,2003
275,Wisconsin,big-ten,2003
276,Marshall,mac,2003
277,West Virginia,big-east,2003
278,Fresno State,wac,2003
282,NotMajor,NotMajor,2003
304,NotMajor,NotMajor,2003
309,Louisiana-Lafayette,sun-belt,2003
326,NotMajor,NotMajor,2003
328,Utah State,sun-belt,2003
331,NotMajor,NotMajor,2003
333,Alabama,sec,2003
344,Mississippi State,sec,2003
349,Army,cusa,2003
356,Illinois,big-ten,2003
2005,Air Force,mwc,2003
2006,Akron,mac,2003
2026,NotMajor,NotMajor,2003
2032,Arkansas State,sun-belt,2003
2050,Ball State,mac,2003
2084,Buffalo,mac,2003
2116,UCF,mac,2003
2117,Central Michigan,mac,2003
2127,NotMajor,NotMajor,2003
2132,Cincinnati,cusa,2003
2142,NotMajor,NotMajor,2003
2193,NotMajor,NotMajor,2003
2197,NotMajor,NotMajor,2003
2198,NotMajor,NotMajor,2003
2199,Eastern Michigan,mac,2003
2226,NotMajor,NotMajor,2003
2229,NotMajor,NotMajor,2003
2275,NotMajor,NotMajor,2003
2287,NotMajor,NotMajor,2003
2294,Iowa,big-ten,2003
2305,Kansas,big-12,2003
2306,Kansas State,big-12,2003
2309,Kent State,mac,2003
2329,NotMajor,NotMajor,2003
2335,NotMajor,NotMajor,2003
2348,Louisiana Tech,wac,2003
2377,NotMajor,NotMajor,2003
2390,Miami (FL),big-east,2003
2393,Middle Tennessee State,sun-belt,2003
2426,Navy,independent,2003
2433,Louisiana-Monroe,sun-belt,2003
2439,Nevada-Las Vegas,mwc,2003
2440,Nevada,wac,2003
2447,NotMajor,NotMajor,2003
2459,Northern Illinois,mac,2003
2460,NotMajor,NotMajor,2003
2464,NotMajor,NotMajor,2003
2466,NotMajor,NotMajor,2003
2483,Oregon,pac-12,2003
2502,NotMajor,NotMajor,2003
2509,Purdue,big-ten,2003
2534,NotMajor,NotMajor,2003
2535,NotMajor,NotMajor,2003
2545,NotMajor,NotMajor,2003
2546,NotMajor,NotMajor,2003
2567,SMU,wac,2003
2572,Southern Mississippi,cusa,2003
2579,South Carolina,sec,2003
2617,NotMajor,NotMajor,2003
2623,NotMajor,NotMajor,2003
2628,Texas Christian,cusa,2003
2630,NotMajor,NotMajor,2003
2633,Tennessee,sec,2003
2635,NotMajor,NotMajor,2003
2638,UTEP,wac,2003
2641,Texas Tech,big-12,2003
2643,NotMajor,NotMajor,2003
2649,Toledo,mac,2003
2653,Troy,independent,2003
2655,Tulane,cusa,2003
2678,NotMajor,NotMajor,2003
2692,NotMajor,NotMajor,2003
2703,NotMajor,NotMajor,2003
2710,NotMajor,NotMajor,2003
2711,Western Michigan,mac,2003
2717,NotMajor,NotMajor,2003
2729,NotMajor,NotMajor,2003
2747,NotMajor,NotMajor,2003
2751,Wyoming,mwc,2003
2754,NotMajor,NotMajor,2003
2755,NotMajor,NotMajor,2003
2,Auburn,sec,2004
5,UAB,cusa,2004
8,Arkansas,sec,2004
9,Arizona State,pac-12,2004
12,Arizona,pac-12,2004
16,NotMajor,NotMajor,2004
21,San Diego State,mwc,2004
23,SJSU,wac,2004
24,Stanford,pac-12,2004
25,California,pac-12,2004
26,UCLA,pac-12,2004
30,USC,pac-12,2004
36,Colorado State,mwc,2004
38,Colorado,big-12,2004
41,Connecticut,big-east,2004
48,NotMajor,NotMajor,2004
50,Florida A&M,independent,2004
52,Florida State,acc,2004
57,Florida,sec,2004
58,South Florida,cusa,2004
59,Georgia Tech,acc,2004
61,Georgia,sec,2004
62,Hawaii,wac,2004
66,Iowa State,big-12,2004
68,Boise State,wac,2004
70,Idaho,sun-belt,2004
77,Northwestern,big-ten,2004
79,NotMajor,NotMajor,2004
84,Indiana,big-ten,2004
87,Notre Dame,independent,2004
93,NotMajor,NotMajor,2004
96,Kentucky,sec,2004
97,Louisville,cusa,2004
98,NotMajor,NotMajor,2004
99,LSU,sec,2004
103,Boston College,big-east,2004
111,NotMajor,NotMajor,2004
113,NotMajor,NotMajor,2004
120,Maryland,acc,2004
127,Michigan State,big-ten,2004
130,Michigan,big-ten,2004
135,Minnesota,big-ten,2004
142,Missouri,big-12,2004
145,Ole Miss,sec,2004
147,NotMajor,NotMajor,2004
150,Duke,acc,2004
151,East Carolina,cusa,2004
152,North Carolina State,acc,2004
153,North Carolina,acc,2004
154,Wake Forest,acc,2004
158,Nebraska,big-12,2004
160,NotMajor,NotMajor,2004
164,Rutgers,big-east,2004
166,New Mexico State,sun-belt,2004
167,New Mexico,mwc,2004
183,Syracuse,big-east,2004
189,Bowling Green State,mac,2004
193,Miami (OH),mac,2004
194,Ohio State,big-ten,2004
195,Ohio,mac,2004
197,Oklahoma State,big-12,2004
201,Oklahoma,big-12,2004
202,Tulsa,wac,2004
204,Oregon State,pac-12,2004
213,Penn State,big-ten,2004
218,Temple,big-east,2004
221,Pitt,big-east,2004
228,Clemson,acc,2004
231,NotMajor,NotMajor,2004
235,Memphis,cusa,2004
236,NotMajor,NotMajor,2004
238,Vanderbilt,sec,2004
239,Baylor,big-12,2004
242,Rice,wac,2004
245,Texas A&M,big-12,2004
248,Houston,cusa,2004
249,North Texas,sun-belt,2004
251,Texas,big-12,2004
252,Brigham Young,mwc,2004
254,Utah,mwc,2004
256,NotMajor,NotMajor,2004
257,NotMajor,NotMajor,2004
258,Virginia,acc,2004
259,Virginia Tech,acc,2004
264,Washington,pac-12,2004
265,Washington State,pac-12,2004
275,Wisconsin,big-ten,2004
276,Marshall,mac,2004
277,West Virginia,big-east,2004
278,Fresno State,wac,2004
282,NotMajor,NotMajor,2004
290,NotMajor,NotMajor,2004
304,NotMajor,NotMajor,2004
309,Louisiana-Lafayette,sun-belt,2004
311,NotMajor,NotMajor,2004
326,NotMajor,NotMajor,2004
328,Utah State,sun-belt,2004
331,NotMajor,NotMajor,2004
333,Alabama,sec,2004
344,Mississippi State,sec,2004
349,Army,cusa,2004
356,Illinois,big-ten,2004
2005,Air Force,mwc,2004
2006,Akron,mac,2004
2026,NotMajor,NotMajor,2004
2032,Arkansas State,sun-belt,2004
2050,Ball State,mac,2004
2084,Buffalo,mac,2004
2116,UCF,mac,2004
2117,Central Michigan,mac,2004
2132,Cincinnati,cusa,2004
2197,NotMajor,NotMajor,2004
2198,NotMajor,NotMajor,2004
2199,Eastern Michigan,mac,2004
2226,Florida Atlantic,sun-belt,2004
2229,Florida International,sun-belt,2004
2287,NotMajor,NotMajor,2004
2294,Iowa,big-ten,2004
2305,Kansas,big-12,2004
2306,Kansas State,big-12,2004
2309,Kent State,mac,2004
2335,NotMajor,NotMajor,2004
2348,Louisiana Tech,wac,2004
2390,Miami (FL),acc,2004
2393,Middle Tennessee State,sun-belt,2004
2415,NotMajor,NotMajor,2004
2426,Navy,independent,2004
2433,Louisiana-Monroe,sun-belt,2004
2439,Nevada-Las Vegas,mwc,2004
2440,Nevada,wac,2004
2448,NotMajor,NotMajor,2004
2459,Northern Illinois,mac,2004
2460,NotMajor,NotMajor,2004
2464,NotMajor,NotMajor,2004
2466,NotMajor,NotMajor,2004
2483,Oregon,pac-12,2004
2502,NotMajor,NotMajor,2004
2509,Purdue,big-ten,2004
2535,NotMajor,NotMajor,2004
2546,NotMajor,NotMajor,2004
2567,SMU,wac,2004
2572,Southern Mississippi,cusa,2004
2579,South Carolina,sec,2004
2623,NotMajor,NotMajor,2004
2628,Texas Christian,cusa,2004
2630,NotMajor,NotMajor,2004
2633,Tennessee,sec,2004
2635,NotMajor,NotMajor,2004
2638,UTEP,wac,2004
2641,Texas Tech,big-12,2004
2643,NotMajor,NotMajor,2004
2649,Toledo,mac,2004
2653,Troy,sun-belt,2004
2655,Tulane,cusa,2004
2678,NotMajor,NotMajor,2004
2692,NotMajor,NotMajor,2004
2710,NotMajor,NotMajor,2004
2711,Western Michigan,mac,2004
2717,NotMajor,NotMajor,2004
2729,NotMajor,NotMajor,2004
2751,Wyoming,mwc,2004
2,Auburn,sec,2005
5,UAB,cusa,2005
8,Arkansas,sec,2005
9,Arizona State,pac-12,2005
12,Arizona,pac-12,2005
13,NotMajor,NotMajor,2005
16,NotMajor,NotMajor,2005
21,San Diego State,mwc,2005
23,SJSU,wac,2005
24,Stanford,pac-12,2005
25,California,pac-12,2005
26,UCLA,pac-12,2005
30,USC,pac-12,2005
36,Colorado State,mwc,2005
38,Colorado,big-12,2005
41,Connecticut,big-east,2005
50,NotMajor,NotMajor,2005
52,Florida State,acc,2005
55,NotMajor,NotMajor,2005
57,Florida,sec,2005
58,South Florida,big-east,2005
59,Georgia Tech,acc,2005
61,Georgia,sec,2005
62,Hawaii,wac,2005
66,Iowa State,big-12,2005
68,Boise State,wac,2005
70,Idaho,wac,2005
77,Northwestern,big-ten,2005
79,NotMajor,NotMajor,2005
84,Indiana,big-ten,2005
87,Notre Dame,independent,2005
93,NotMajor,NotMajor,2005
96,Kentucky,sec,2005
97,Louisville,big-east,2005
98,NotMajor,NotMajor,2005
99,LSU,sec,2005
103,Boston College,acc,2005
113,NotMajor,NotMajor,2005
120,Maryland,acc,2005
127,Michigan State,big-ten,2005
130,Michigan,big-ten,2005
135,Minnesota,big-ten,2005
142,Missouri,big-12,2005
145,Ole Miss,sec,2005
147,NotMajor,NotMajor,2005
149,NotMajor,NotMajor,2005
150,Duke,acc,2005
151,East Carolina,cusa,2005
152,North Carolina State,acc,2005
153,North Carolina,acc,2005
154,Wake Forest,acc,2005
158,Nebraska,big-12,2005
164,Rutgers,big-east,2005
166,New Mexico State,wac,2005
167,New Mexico,mwc,2005
183,Syracuse,big-east,2005
189,Bowling Green State,mac,2005
193,Miami (OH),mac,2005
194,Ohio State,big-ten,2005
195,Ohio,mac,2005
197,Oklahoma State,big-12,2005
201,Oklahoma,big-12,2005
202,Tulsa,cusa,2005
204,Oregon State,pac-12,2005
213,Penn State,big-ten,2005
218,Temple,independent,2005
221,Pitt,big-east,2005
222,NotMajor,NotMajor,2005
228,Clemson,acc,2005
235,Memphis,cusa,2005
236,NotMajor,NotMajor,2005
238,Vanderbilt,sec,2005
239,Baylor,big-12,2005
242,Rice,cusa,2005
245,Texas A&M,big-12,2005
248,Houston,cusa,2005
249,North Texas,sun-belt,2005
251,Texas,big-12,2005
252,Brigham Young,mwc,2005
254,Utah,mwc,2005
257,NotMajor,NotMajor,2005
258,Virginia,acc,2005
259,Virginia Tech,acc,2005
264,Washington,pac-12,2005
265,Washington State,pac-12,2005
275,Wisconsin,big-ten,2005
276,Marshall,cusa,2005
277,West Virginia,big-east,2005
278,Fresno State,wac,2005
282,NotMajor,NotMajor,2005
302,NotMajor,NotMajor,2005
304,NotMajor,NotMajor,2005
309,Louisiana-Lafayette,sun-belt,2005
311,NotMajor,NotMajor,2005
326,NotMajor,NotMajor,2005
328,Utah State,wac,2005
331,NotMajor,NotMajor,2005
333,Alabama,sec,2005
344,Mississippi State,sec,2005
349,Army,independent,2005
356,Illinois,big-ten,2005
2005,Air Force,mwc,2005
2006,Akron,mac,2005
2026,NotMajor,NotMajor,2005
2032,Arkansas State,sun-belt,2005
2050,Ball State,mac,2005
2084,Buffalo,mac,2005
2116,UCF,cusa,2005
2117,Central Michigan,mac,2005
2132,Cincinnati,big-east,2005
2197,NotMajor,NotMajor,2005
2198,NotMajor,NotMajor,2005
2199,Eastern Michigan,mac,2005
2226,Florida Atlantic,sun-belt,2005
2229,Florida International,sun-belt,2005
2287,NotMajor,NotMajor,2005
2294,Iowa,big-ten,2005
2305,Kansas,big-12,2005
2306,Kansas State,big-12,2005
2309,Kent State,mac,2005
2335,NotMajor,NotMajor,2005
2348,Louisiana Tech,wac,2005
2377,NotMajor,NotMajor,2005
2390,Miami (FL),acc,2005
2393,Middle Tennessee State,sun-belt,2005
2426,Navy,independent,2005
2433,Louisiana-Monroe,sun-belt,2005
2439,Nevada-Las Vegas,mwc,2005
2440,Nevada,wac,2005
2447,NotMajor,NotMajor,2005
2459,Northern Illinois,mac,2005
2460,NotMajor,NotMajor,2005
2464,NotMajor,NotMajor,2005
2466,NotMajor,NotMajor,2005
2483,Oregon,pac-12,2005
2502,NotMajor,NotMajor,2005
2509,Purdue,big-ten,2005
2534,NotMajor,NotMajor,2005
2535,NotMajor,NotMajor,2005
2545,NotMajor,NotMajor,2005
2546,NotMajor,NotMajor,2005
2567,SMU,cusa,2005
2572,Southern Mississippi,cusa,2005
2579,South Carolina,sec,2005
2623,NotMajor,NotMajor,2005
2628,Texas Christian,mwc,2005
2630,NotMajor,NotMajor,2005
2633,Tennessee,sec,2005
2635,NotMajor,NotMajor,2005
2638,UTEP,cusa,2005
2640,NotMajor,NotMajor,2005
2641,Texas Tech,big-12,2005
2643,NotMajor,NotMajor,2005
2649,Toledo,mac,2005
2653,Troy,sun-belt,2005
2655,Tulane,cusa,2005
2678,NotMajor,NotMajor,2005
2692,NotMajor,NotMajor,2005
2710,NotMajor,NotMajor,2005
2711,Western Michigan,mac,2005
2717,NotMajor,NotMajor,2005
2729,NotMajor,NotMajor,2005
2747,NotMajor,NotMajor,2005
2751,Wyoming,mwc,2005
2754,NotMajor,NotMajor,2005
2755,NotMajor,NotMajor,2005
2,Auburn,sec,2006
5,UAB,cusa,2006
8,Arkansas,sec,2006
9,Arizona State,pac-12,2006
12,Arizona,pac-12,2006
13,NotMajor,NotMajor,2006
16,NotMajor,NotMajor,2006
21,San Diego State,mwc,2006
23,SJSU,wac,2006
24,Stanford,pac-12,2006
25,California,pac-12,2006
26,UCLA,pac-12,2006
30,USC,pac-12,2006
36,Colorado State,mwc,2006
38,Colorado,big-12,2006
41,Connecticut,big-east,2006
47,NotMajor,NotMajor,2006
50,NotMajor,NotMajor,2006
52,Florida State,acc,2006
55,NotMajor,NotMajor,2006
57,Florida,sec,2006
58,South Florida,big-east,2006
59,Georgia Tech,acc,2006
61,Georgia,sec,2006
62,Hawaii,wac,2006
66,Iowa State,big-12,2006
68,Boise State,wac,2006
70,Idaho,wac,2006
77,Northwestern,big-ten,2006
79,NotMajor,NotMajor,2006
84,Indiana,big-ten,2006
87,Notre Dame,independent,2006
93,NotMajor,NotMajor,2006
96,Kentucky,sec,2006
97,Louisville,big-east,2006
98,NotMajor,NotMajor,2006
99,LSU,sec,2006
103,Boston College,acc,2006
111,NotMajor,NotMajor,2006
113,NotMajor,NotMajor,2006
120,Maryland,acc,2006
127,Michigan State,big-ten,2006
130,Michigan,big-ten,2006
135,Minnesota,big-ten,2006
142,Missouri,big-12,2006
145,Ole Miss,sec,2006
147,NotMajor,NotMajor,2006
149,NotMajor,NotMajor,2006
150,Duke,acc,2006
151,East Carolina,cusa,2006
152,North Carolina State,acc,2006
153,North Carolina,acc,2006
154,Wake Forest,acc,2006
158,Nebraska,big-12,2006
160,NotMajor,NotMajor,2006
164,Rutgers,big-east,2006
166,New Mexico State,wac,2006
167,New Mexico,mwc,2006
183,Syracuse,big-east,2006
189,Bowling Green State,mac,2006
