"Team","Year","Conf"
"Clemson",2002,"acc"
"Georgia Tech",2002,"acc"
"Wake Forest",2002,"acc"
"North Carolina",2002,"acc"
"Duke",2002,"acc"
"Maryland",2001,"acc"
"Florida State",2001,"acc"
"North Carolina",2001,"acc"
"Georgia Tech",2001,"acc"
"Clemson",2001,"acc"
"North Carolina State",2001,"acc"
"Wake Forest",2001,"acc"
"Virginia",2001,"acc"
"Duke",2001,"acc"
"UCF",2017,"american"
"South Florida",2017,"american"
"Temple",2017,"american"
"Cincinnati",2017,"american"
"Connecticut",2017,"american"
"East Carolina",2017,"american"
"Memphis",2017,"american"
"Houston",2017,"american"
"Navy",2017,"american"
"SMU",2017,"american"
"Tulane",2017,"american"
"Tulsa",2017,"american"
"South Florida",2016,"american"
"Temple",2016,"american"
"UCF",2016,"american"
"Cincinnati",2016,"american"
"Connecticut",2016,"american"
"East Carolina",2016,"american"
"Navy",2016,"american"
"Tulsa",2016,"american"
"Houston",2016,"american"
"Memphis",2016,"american"
"SMU",2016,"american"
"Tulane",2016,"american"
"Temple",2015,"american"
"South Florida",2015,"american"
"Cincinnati",2015,"american"
"Connecticut",2015,"american"
"East Carolina",2015,"american"
"UCF",2015,"american"
"Houston",2015,"american"
"Navy",2015,"american"
"Memphis",2015,"american"
"Tulsa",2015,"american"
"Tulane",2015,"american"
"SMU",2015,"american"
"Memphis",2014,"american"
"Cincinnati",2014,"american"
"UCF",2014,"american"
"East Carolina",2014,"american"
"Houston",2014,"american"
"Temple",2014,"american"
"South Florida",2014,"american"
"Tulane",2014,"american"
"Tulsa",2014,"american"
"Connecticut",2014,"american"
"SMU",2014,"american"
"UCF",2013,"american"
"Louisville",2013,"american"
"Cincinnati",2013,"american"
"Houston",2013,"american"
"SMU",2013,"american"
"Rutgers",2013,"american"
"Connecticut",2013,"american"
"South Florida",2013,"american"
"Memphis",2013,"american"
"Temple",2013,"american"
"Oklahoma",2017,"big-12"
"Texas Christian",2017,"big-12"
"Oklahoma State",2017,"big-12"
"Iowa State",2017,"big-12"
"Kansas State",2017,"big-12"
"Texas",2017,"big-12"
"West Virginia",2017,"big-12"
"Texas Tech",2017,"big-12"
"Baylor",2017,"big-12"
"Kansas",2017,"big-12"
"Oklahoma",2016,"big-12"
"Oklahoma State",2016,"big-12"
"West Virginia",2016,"big-12"
"Kansas State",2016,"big-12"
"Texas Christian",2016,"big-12"
"Baylor",2016,"big-12"
"Texas",2016,"big-12"
"Texas Tech",2016,"big-12"
"Iowa State",2016,"big-12"
"Kansas",2016,"big-12"
"Oklahoma",2015,"big-12"
"Texas Christian",2015,"big-12"
"Oklahoma State",2015,"big-12"
"Baylor",2015,"big-12"
"West Virginia",2015,"big-12"
"Texas Tech",2015,"big-12"
"Texas",2015,"big-12"
"Kansas State",2015,"big-12"
"Iowa State",2015,"big-12"
"Kansas",2015,"big-12"
"Texas Christian",2014,"big-12"
"Baylor",2014,"big-12"
"Kansas State",2014,"big-12"
"Oklahoma",2014,"big-12"
"West Virginia",2014,"big-12"
"Texas",2014,"big-12"
"Oklahoma State",2014,"big-12"
"Texas Tech",2014,"big-12"
"Kansas",2014,"big-12"
"Iowa State",2014,"big-12"
"Baylor",2013,"big-12"
"Oklahoma",2013,"big-12"
"Oklahoma State",2013,"big-12"
"Texas",2013,"big-12"
"Kansas State",2013,"big-12"
"Texas Tech",2013,"big-12"
"Texas Christian",2013,"big-12"
"West Virginia",2013,"big-12"
"Iowa State",2013,"big-12"
"Kansas",2013,"big-12"
"Kansas State",2012,"big-12"
"Oklahoma",2012,"big-12"
"Oklahoma State",2012,"big-12"
"Texas",2012,"big-12"
"Baylor",2012,"big-12"
"Texas Tech",2012,"big-12"
"Texas Christian",2012,"big-12"
"West Virginia",2012,"big-12"
"Iowa State",2012,"big-12"
"Kansas",2012,"big-12"
"Oklahoma State",2011,"big-12"
"Kansas State",2011,"big-12"
"Baylor",2011,"big-12"
"Oklahoma",2011,"big-12"
"Missouri",2011,"big-12"
"Texas",2011,"big-12"
"Texas A&M",2011,"big-12"
"Iowa State",2011,"big-12"
"Texas Tech",2011,"big-12"
"Kansas",2011,"big-12"
"Missouri",2010,"big-12"
"Nebraska",2010,"big-12"
"Kansas State",2010,"big-12"
"Iowa State",2010,"big-12"
"Colorado",2010,"big-12"
"Kansas",2010,"big-12"
"Oklahoma",2010,"big-12"
"Oklahoma State",2010,"big-12"
"Texas A&M",2010,"big-12"
"Baylor",2010,"big-12"
"Texas Tech",2010,"big-12"
"Texas",2010,"big-12"
"Nebraska",2009,"big-12"
"Missouri",2009,"big-12"
"Kansas State",2009,"big-12"
"Iowa State",2009,"big-12"
"Colorado",2009,"big-12"
"Kansas",2009,"big-12"
"Texas",2009,"big-12"
"Oklahoma State",2009,"big-12"
"Oklahoma",2009,"big-12"
"Texas Tech",2009,"big-12"
"Texas A&M",2009,"big-12"
"Baylor",2009,"big-12"
"Missouri",2008,"big-12"
"Nebraska",2008,"big-12"
"Kansas",2008,"big-12"
"Colorado",2008,"big-12"
"Kansas State",2008,"big-12"
"Iowa State",2008,"big-12"
"Texas",2008,"big-12"
"Oklahoma",2008,"big-12"
"Texas Tech",2008,"big-12"
"Oklahoma State",2008,"big-12"
"Baylor",2008,"big-12"
"Texas A&M",2008,"big-12"
"Kansas",2007,"big-12"
"Missouri",2007,"big-12"
"Colorado",2007,"big-12"
"Kansas State",2007,"big-12"
"Nebraska",2007,"big-12"
"Iowa State",2007,"big-12"
"Oklahoma",2007,"big-12"
"Texas",2007,"big-12"
"Texas Tech",2007,"big-12"
"Oklahoma State",2007,"big-12"
"Texas A&M",2007,"big-12"
"Baylor",2007,"big-12"
"Nebraska",2006,"big-12"
"Missouri",2006,"big-12"
"Kansas State",2006,"big-12"
"Kansas",2006,"big-12"
"Colorado",2006,"big-12"
"Iowa State",2006,"big-12"
"Oklahoma",2006,"big-12"
"Texas",2006,"big-12"
"Texas A&M",2006,"big-12"
"Texas Tech",2006,"big-12"
"Oklahoma State",2006,"big-12"
"Baylor",2006,"big-12"
"Colorado",2005,"big-12"
"Nebraska",2005,"big-12"
"Iowa State",2005,"big-12"
"Missouri",2005,"big-12"
"Kansas",2005,"big-12"
"Kansas State",2005,"big-12"
"Texas",2005,"big-12"
"Texas Tech",2005,"big-12"
"Oklahoma",2005,"big-12"
"Texas A&M",2005,"big-12"
"Baylor",2005,"big-12"
"Oklahoma State",2005,"big-12"
"Colorado",2004,"big-12"
"Iowa State",2004,"big-12"
"Missouri",2004,"big-12"
"Nebraska",2004,"big-12"
"Kansas",2004,"big-12"
"Kansas State",2004,"big-12"
"Oklahoma",2004,"big-12"
"Texas",2004,"big-12"
"Texas Tech",2004,"big-12"
"Texas A&M",2004,"big-12"
"Oklahoma State",2004,"big-12"
"Baylor",2004,"big-12"
"Kansas State",2003,"big-12"
"Nebraska",2003,"big-12"
"Missouri",2003,"big-12"
"Colorado",2003,"big-12"
"Kansas",2003,"big-12"
"Iowa State",2003,"big-12"
"Oklahoma",2003,"big-12"
"Texas",2003,"big-12"
"Oklahoma State",2003,"big-12"
"Texas Tech",2003,"big-12"
"Texas A&M",2003,"big-12"
"Baylor",2003,"big-12"
"Colorado",2002,"big-12"
"Kansas State",2002,"big-12"
"Iowa State",2002,"big-12"
"Nebraska",2002,"big-12"
"Missouri",2002,"big-12"
"Kansas",2002,"big-12"
"Oklahoma",2002,"big-12"
"Texas",2002,"big-12"
"Oklahoma State",2002,"big-12"
"Texas Tech",2002,"big-12"
"Texas A&M",2002,"big-12"
"Baylor",2002,"big-12"
"Nebraska",2001,"big-12"
"Colorado",2001,"big-12"
"Iowa State",2001,"big-12"
"Kansas State",2001,"big-12"
"Missouri",2001,"big-12"
"Kansas",2001,"big-12"
"Texas",2001,"big-12"
"Oklahoma",2001,"big-12"
"Texas A&M",2001,"big-12"
"Texas Tech",2001,"big-12"
"Oklahoma State",2001,"big-12"
"Baylor",2001,"big-12"
"Ohio State",2017,"big-ten"
"Penn State",2017,"big-ten"
"Michigan State",2017,"big-ten"
"Michigan",2017,"big-ten"
"Rutgers",2017,"big-ten"
"Indiana",2017,"big-ten"
"Maryland",2017,"big-ten"
"Wisconsin",2017,"big-ten"
"Northwestern",2017,"big-ten"
"Iowa",2017,"big-ten"
"Purdue",2017,"big-ten"
"Nebraska",2017,"big-ten"
"Minnesota",2017,"big-ten"
"Illinois",2017,"big-ten"
"Ohio State",2016,"big-ten"
"Penn State",2016,"big-ten"
"Michigan",2016,"big-ten"
"Indiana",2016,"big-ten"
"Maryland",2016,"big-ten"
"Michigan State",2016,"big-ten"
"Rutgers",2016,"big-ten"
"Wisconsin",2016,"big-ten"
"Iowa",2016,"big-ten"
"Nebraska",2016,"big-ten"
"Minnesota",2016,"big-ten"
"Northwestern",2016,"big-ten"
"Illinois",2016,"big-ten"
"Purdue",2016,"big-ten"
"Ohio State",2015,"big-ten"
"Michigan State",2015,"big-ten"
"Michigan",2015,"big-ten"
"Penn State",2015,"big-ten"
"Indiana",2015,"big-ten"
"Rutgers",2015,"big-ten"
"Maryland",2015,"big-ten"
"Iowa",2015,"big-ten"
"Northwestern",2015,"big-ten"
"Wisconsin",2015,"big-ten"
"Nebraska",2015,"big-ten"
"Illinois",2015,"big-ten"
"Minnesota",2015,"big-ten"
"Purdue",2015,"big-ten"
"Ohio State",2014,"big-ten"
"Michigan State",2014,"big-ten"
"Maryland",2014,"big-ten"
"Rutgers",2014,"big-ten"
"Michigan",2014,"big-ten"
"Penn State",2014,"big-ten"
"Indiana",2014,"big-ten"
"Wisconsin",2014,"big-ten"
"Minnesota",2014,"big-ten"
"Nebraska",2014,"big-ten"
"Iowa",2014,"big-ten"
"Illinois",2014,"big-ten"
"Northwestern",2014,"big-ten"
"Purdue",2014,"big-ten"
"Ohio State",2013,"big-ten"
"Wisconsin",2013,"big-ten"
"Penn State",2013,"big-ten"
"Indiana",2013,"big-ten"
"Illinois",2013,"big-ten"
"Purdue",2013,"big-ten"
"Michigan State",2013,"big-ten"
"Iowa",2013,"big-ten"
"Nebraska",2013,"big-ten"
"Minnesota",2013,"big-ten"
"Michigan",2013,"big-ten"
"Northwestern",2013,"big-ten"
"Ohio State",2012,"big-ten"
"Penn State",2012,"big-ten"
"Wisconsin",2012,"big-ten"
"Purdue",2012,"big-ten"
"Indiana",2012,"big-ten"
"Illinois",2012,"big-ten"
"Nebraska",2012,"big-ten"
"Michigan",2012,"big-ten"
"Northwestern",2012,"big-ten"
"Michigan State",2012,"big-ten"
"Minnesota",2012,"big-ten"
"Iowa",2012,"big-ten"
"Wisconsin",2011,"big-ten"
"Penn State",2011,"big-ten"
"Purdue",2011,"big-ten"
"Ohio State",2011,"big-ten"
"Illinois",2011,"big-ten"
"Indiana",2011,"big-ten"
"Michigan State",2011,"big-ten"
"Michigan",2011,"big-ten"
"Nebraska",2011,"big-ten"
"Iowa",2011,"big-ten"
"Northwestern",2011,"big-ten"
"Minnesota",2011,"big-ten"
"Ohio State",2010,"big-ten"
"Michigan State",2010,"big-ten"
"Wisconsin",2010,"big-ten"
"Iowa",2010,"big-ten"
"Illinois",2010,"big-ten"
"Penn State",2010,"big-ten"
"Michigan",2010,"big-ten"
"Northwestern",2010,"big-ten"
"Purdue",2010,"big-ten"
"Minnesota",2010,"big-ten"
"Indiana",2010,"big-ten"
"Ohio State",2009,"big-ten"
"Iowa",2009,"big-ten"
"Penn State",2009,"big-ten"
"Wisconsin",2009,"big-ten"
"Northwestern",2009,"big-ten"
"Michigan State",2009,"big-ten"
"Purdue",2009,"big-ten"
"Minnesota",2009,"big-ten"
"Illinois",2009,"big-ten"
"Michigan",2009,"big-ten"
"Indiana",2009,"big-ten"
"Penn State",2008,"big-ten"
"Ohio State",2008,"big-ten"
"Michigan State",2008,"big-ten"
"Iowa",2008,"big-ten"
"Northwestern",2008,"big-ten"
"Minnesota",2008,"big-ten"
"Wisconsin",2008,"big-ten"
"Illinois",2008,"big-ten"
"Purdue",2008,"big-ten"
"Michigan",2008,"big-ten"
"Indiana",2008,"big-ten"
"Ohio State",2007,"big-ten"
"Illinois",2007,"big-ten"
"Michigan",2007,"big-ten"
"Wisconsin",2007,"big-ten"
"Penn State",2007,"big-ten"
"Iowa",2007,"big-ten"
"Purdue",2007,"big-ten"
"Indiana",2007,"big-ten"
"Michigan State",2007,"big-ten"
"Northwestern",2007,"big-ten"
"Minnesota",2007,"big-ten"
"Ohio State",2006,"big-ten"
"Wisconsin",2006,"big-ten"
"Michigan",2006,"big-ten"
"Penn State",2006,"big-ten"
"Purdue",2006,"big-ten"
"Indiana",2006,"big-ten"
"Minnesota",2006,"big-ten"
"Iowa",2006,"big-ten"
"Northwestern",2006,"big-ten"
"Michigan State",2006,"big-ten"
"Illinois",2006,"big-ten"
"Penn State",2005,"big-ten"
"Ohio State",2005,"big-ten"
"Wisconsin",2005,"big-ten"
"Iowa",2005,"big-ten"
"Michigan",2005,"big-ten"
"Northwestern",2005,"big-ten"
"Minnesota",2005,"big-ten"
"Purdue",2005,"big-ten"
"Michigan State",2005,"big-ten"
"Indiana",2005,"big-ten"
"Illinois",2005,"big-ten"
"Iowa",2004,"big-ten"
"Michigan",2004,"big-ten"
"Wisconsin",2004,"big-ten"
"Northwestern",2004,"big-ten"
"Ohio State",2004,"big-ten"
"Purdue",2004,"big-ten"
"Michigan State",2004,"big-ten"
"Minnesota",2004,"big-ten"
"Penn State",2004,"big-ten"
"Illinois",2004,"big-ten"
"Indiana",2004,"big-ten"
"Michigan",2003,"big-ten"
"Ohio State",2003,"big-ten"
"Purdue",2003,"big-ten"
"Iowa",2003,"big-ten"
"Minnesota",2003,"big-ten"
"Michigan State",2003,"big-ten"
"Wisconsin",2003,"big-ten"
"Northwestern",2003,"big-ten"
"Penn State",2003,"big-ten"
"Indiana",2003,"big-ten"
"Illinois",2003,"big-ten"
"Ohio State",2002,"big-ten"
"Iowa",2002,"big-ten"
"Michigan",2002,"big-ten"
"Penn State",2002,"big-ten"
"Purdue",2002,"big-ten"
"Illinois",2002,"big-ten"
"Minnesota",2002,"big-ten"
"Wisconsin",2002,"big-ten"
"Michigan State",2002,"big-ten"
"Indiana",2002,"big-ten"
"Northwestern",2002,"big-ten"
"Illinois",2001,"big-ten"
"Michigan",2001,"big-ten"
"Ohio State",2001,"big-ten"
"Iowa",2001,"big-ten"
"Purdue",2001,"big-ten"
"Indiana",2001,"big-ten"
"Penn State",2001,"big-ten"
"Michigan State",2001,"big-ten"
"Wisconsin",2001,"big-ten"
"Minnesota",2001,"big-ten"
"Northwestern",2001,"big-ten"
"Florida Atlantic",2017,"cusa"
"Florida International",2017,"cusa"
"Marshall",2017,"cusa"
"Middle Tennessee State",2017,"cusa"
"Western Kentucky",2017,"cusa"
"Old Dominion",2017,"cusa"
"Charlotte",2017,"cusa"
"North Texas",2017,"cusa"
"Southern Mississippi",2017,"cusa"
"UAB",2017,"cusa"
"Louisiana Tech",2017,"cusa"
"UTSA",2017,"cusa"
"Rice",2017,"cusa"
"UTEP",2017,"cusa"
"Old Dominion",2016,"cusa"
"Western Kentucky",2016,"cusa"
"Middle Tennessee State",2016,"cusa"
"Florida International",2016,"cusa"
"Charlotte",2016,"cusa"
"Florida Atlantic",2016,"cusa"
"Marshall",2016,"cusa"
"Louisiana Tech",2016,"cusa"
"UTSA",2016,"cusa"
"Southern Mississippi",2016,"cusa"
"North Texas",2016,"cusa"
"UTEP",2016,"cusa"
"Rice",2016,"cusa"
"Western Kentucky",2015,"cusa"
"Marshall",2015,"cusa"
"Middle Tennessee State",2015,"cusa"
"Florida International",2015,"cusa"
"Old Dominion",2015,"cusa"
"Florida Atlantic",2015,"cusa"
"Charlotte",2015,"cusa"
"Southern Mississippi",2015,"cusa"
"Louisiana Tech",2015,"cusa"
"Rice",2015,"cusa"
"UTEP",2015,"cusa"
"UTSA",2015,"cusa"
"North Texas",2015,"cusa"
"Marshall",2014,"cusa"
"Middle Tennessee State",2014,"cusa"
"Western Kentucky",2014,"cusa"
"Old Dominion",2014,"cusa"
"UAB",2014,"cusa"
"Florida International",2014,"cusa"
"Florida Atlantic",2014,"cusa"
"Louisiana Tech",2014,"cusa"
"Rice",2014,"cusa"
"UTEP",2014,"cusa"
"UTSA",2014,"cusa"
"North Texas",2014,"cusa"
"Southern Mississippi",2014,"cusa"
"Marshall",2013,"cusa"
"East Carolina",2013,"cusa"
"Middle Tennessee State",2013,"cusa"
"Florida Atlantic",2013,"cusa"
"UAB",2013,"cusa"
"Florida International",2013,"cusa"
"Southern Mississippi",2013,"cusa"
"Rice",2013,"cusa"
"North Texas",2013,"cusa"
"UTSA",2013,"cusa"
"Tulane",2013,"cusa"
"Louisiana Tech",2013,"cusa"
"Tulsa",2013,"cusa"
"UTEP",2013,"cusa"
"UCF",2012,"cusa"
"East Carolina",2012,"cusa"
"Marshall",2012,"cusa"
"Memphis",2012,"cusa"
"UAB",2012,"cusa"
"Southern Mississippi",2012,"cusa"
"Tulsa",2012,"cusa"
"SMU",2012,"cusa"
"Rice",2012,"cusa"
"Houston",2012,"cusa"
"UTEP",2012,"cusa"
"Tulane",2012,"cusa"
"Southern Mississippi",2011,"cusa"
"Marshall",2011,"cusa"
"East Carolina",2011,"cusa"
"UCF",2011,"cusa"
"UAB",2011,"cusa"
"Memphis",2011,"cusa"
"Houston",2011,"cusa"
"Tulsa",2011,"cusa"
"SMU",2011,"cusa"
"Rice",2011,"cusa"
"UTEP",2011,"cusa"
"Tulane",2011,"cusa"
"UCF",2010,"cusa"
"Southern Mississippi",2010,"cusa"
"East Carolina",2010,"cusa"
"Marshall",2010,"cusa"
"UAB",2010,"cusa"
"Memphis",2010,"cusa"
"Tulsa",2010,"cusa"
"SMU",2010,"cusa"
"Houston",2010,"cusa"
"UTEP",2010,"cusa"
"Rice",2010,"cusa"
"Tulane",2010,"cusa"
"East Carolina",2009,"cusa"
"UCF",2009,"cusa"
"Southern Mississippi",2009,"cusa"
"Marshall",2009,"cusa"
"UAB",2009,"cusa"
"Memphis",2009,"cusa"
"Houston",2009,"cusa"
"SMU",2009,"cusa"
"Tulsa",2009,"cusa"
"UTEP",2009,"cusa"
"Rice",2009,"cusa"
"Tulane",2009,"cusa"
"East Carolina",2008,"cusa"
"Southern Mississippi",2008,"cusa"
"Memphis",2008,"cusa"
"Marshall",2008,"cusa"
"UAB",2008,"cusa"
"UCF",2008,"cusa"
"Rice",2008,"cusa"
"Tulsa",2008,"cusa"
"Houston",2008,"cusa"
"UTEP",2008,"cusa"
"Tulane",2008,"cusa"
"SMU",2008,"cusa"
"UCF",2007,"cusa"
"East Carolina",2007,"cusa"
"Memphis",2007,"cusa"
"Southern Mississippi",2007,"cusa"
"Marshall",2007,"cusa"
"UAB",2007,"cusa"
"Tulsa",2007,"cusa"
"Houston",2007,"cusa"
"Tulane",2007,"cusa"
"Rice",2007,"cusa"
"UTEP",2007,"cusa"
"SMU",2007,"cusa"
"Southern Mississippi",2006,"cusa"
"East Carolina",2006,"cusa"
"Marshall",2006,"cusa"
"UCF",2006,"cusa"
"UAB",2006,"cusa"
"Memphis",2006,"cusa"
"Houston",2006,"cusa"
"Rice",2006,"cusa"
"Tulsa",2006,"cusa"
"SMU",2006,"cusa"
"UTEP",2006,"cusa"
"Tulane",2006,"cusa"
"UCF",2005,"cusa"
"Memphis",2005,"cusa"
"Southern Mississippi",2005,"cusa"
"East Carolina",2005,"cusa"
"UAB",2005,"cusa"
"Marshall",2005,"cusa"
"Tulsa",2005,"cusa"
"UTEP",2005,"cusa"
"Houston",2005,"cusa"
"SMU",2005,"cusa"
"Tulane",2005,"cusa"
"Rice",2005,"cusa"
"Louisville",2004,"cusa"
"Memphis",2004,"cusa"
"Cincinnati",2004,"cusa"
"Southern Mississippi",2004,"cusa"
"UAB",2004,"cusa"
"Texas Christian",2004,"cusa"
"Tulane",2004,"cusa"
"South Florida",2004,"cusa"
"Houston",2004,"cusa"
"Army",2004,"cusa"
"East Carolina",2004,"cusa"
"Southern Mississippi",2003,"cusa"
"Texas Christian",2003,"cusa"
"Louisville",2003,"cusa"
"Memphis",2003,"cusa"
"South Florida",2003,"cusa"
"Houston",2003,"cusa"
"UAB",2003,"cusa"
"Tulane",2003,"cusa"
"Cincinnati",2003,"cusa"
"East Carolina",2003,"cusa"
"Army",2003,"cusa"
"Texas Christian",2002,"cusa"
"Cincinnati",2002,"cusa"
"Louisville",2002,"cusa"
"Southern Mississippi",2002,"cusa"
"Tulane",2002,"cusa"
"UAB",2002,"cusa"
"East Carolina",2002,"cusa"
"Houston",2002,"cusa"
"Memphis",2002,"cusa"
"Army",2002,"cusa"
"Louisville",2001,"cusa"
"Cincinnati",2001,"cusa"
"East Carolina",2001,"cusa"
"UAB",2001,"cusa"
"Southern Mississippi",2001,"cusa"
"Texas Christian",2001,"cusa"
"Memphis",2001,"cusa"
"Army",2001,"cusa"
"Tulane",2001,"cusa"
"Houston",2001,"cusa"
"Massachusetts",2017,"independent"
"Army",2017,"independent"
"Notre Dame",2017,"independent"
"Brigham Young",2017,"independent"
"Massachusetts",2016,"independent"
"Army",2016,"independent"
"Brigham Young",2016,"independent"
"Notre Dame",2016,"independent"
"Notre Dame",2015,"independent"
"Brigham Young",2015,"independent"
"Army",2015,"independent"
"Notre Dame",2014,"independent"
"Navy",2014,"independent"
"Army",2014,"independent"
"Brigham Young",2014,"independent"
"Notre Dame",2013,"independent"
"New Mexico State",2013,"independent"
"Navy",2013,"independent"
"Brigham Young",2013,"independent"
"Army",2013,"independent"
"Idaho",2013,"independent"
"Notre Dame",2012,"independent"
"Brigham Young",2012,"independent"
"Navy",2012,"independent"
"Army",2012,"independent"
"Brigham Young",2011,"independent"
"Notre Dame",2011,"independent"
"Navy",2011,"independent"
"Army",2011,"independent"
"Navy",2010,"independent"
"Notre Dame",2010,"independent"
"Army",2010,"independent"
"Navy",2009,"independent"
"Notre Dame",2009,"independent"
"Army",2009,"independent"
"Western Kentucky",2008,"independent"
"Navy",2008,"independent"
"Notre Dame",2008,"independent"
"Army",2008,"independent"
"Navy",2007,"independent"
